-2	D o s e
1926	m i l n o b e s b eI n t i s eI s
2	d o s
4	k w a t
4x4	k w a t s rf s e
a	a
abajo	a b a x o
absolutamente	a b s o l u t a m e n t e
acabo	a k a b o
aceleradores	a s e l e rf a D o rf e s
aceptada	a s e p t a D a
acercarnos	a s e rf k a rf n o s
acuerdan	a k w e rf D a ng
además	a D e m a+ s
ahora	a o rf a
al	a l
alfa	a l f a
algebra	a l G e b rf a
algebraicas	a l G e b rf aI k a s
algo	a l G o
alta	a l t a
altas	a l t a s
amante	a m a n t e
amazon	a m a s o n
ambos	a m b o s
amigo	a m i G o
amplitud	a m p l i t u
anderson	a n d e rf s o ng
antes	a n t e s
anti	a n t i
antimateria	a n t i m a t e rf j a
antineutrones	a n t i n eU t rf o n e s
antipartículas	a n t i p a rf t i+ k u l a s
antiprotones	a n t i p rf o t o n e s
análogas	a n a+ l o G a s
análogo	a n a+ l o G o
aparecido	a p a rf e s i D o
aparecieron	a p a rf e s j e rf o ng
apareció	a p a rf e s j o+
apetece	a p e t e s e
aplicar	a p l i k a rf
aprender	a p rf e n d e rf
aquí	a k i+
asuste	a s u s t e
asusten	a s u s t e ng
así	a s i+
atrevemos	a t rf e b e m o s
atómicas	a t o+ m i k a s
años	a n~ o s
aún	a u+ ng
bella	b e L a
belleza	b e L e T a
bello	b e L o
beta	b e t a
bien	b j e ng
boson	b o s o ng
bueno	b w e n o
cacharro	k a tS a r o
cada	k a D a
cama	k a m a
camisetas	k a m i s e t a s
capaz	k a p a s
carga	k a rf G a
caso	k a s o
casualidad	k a s w a l i D a
cerebro	s e rf e b rf o
cero	s e rf o
ciencia	s j e ng s j a
científica	T j e n t i+ f i k a
científicas	T j e n t i+ f i k a s
ciertas	s j e rf t a s
cierto	s j e rf t o
ciertos	s j e rf t o s
clásica	k l a+ s i k a
clásico	k l a+ s i k o
coincidirá	k oI n T i D i rf a+
columna	k o l u m n a
como	k o m o
comparte	k o m p a rf t e
completamente	k o m p l e t a m e n t e
comprender	k o m p rf e n d e rf
con	k o ng
concreto	k o n k rf e t o
condiciones	k o n d i T j o n e s
conmigo	k o ng m i G o
consecuencia	k o ng s e k w e ng s j a
consecuencias	k o ng s e k w e ng s j a s
consiste	k o ng s i s t e
constantes	k o n s t a n t e s
contribución	k o n t rf i b u s j o+ ng
convertir	k o ng V e rf t i rf
convirtiendo	k o m V i rf t j e n d o
correcta	k o r e k t a
corresponde	k o r e s p o n d e
corriente	k o r j e n t e
corrientes	k o r j e n t e s
costo	k o s t o
cotas	k o t a s
crea	k rf e a
creación	k rf e a s j o+ ng
cristiano	k rf i s t j a n o
créanme	k rf e+ a n m e
cuadrada	k w a D rf a D a
cuadrado	k w a D rf a D o
cuadrados	k w a D rf a D o s
cuadro	k w a D rf o
cuadrática	k w a D rf a+ t i k a
cualquier	k w a l k j e rf
cuentas	k w e n t a s
cuidadito	k w i D a D i t o
cuidado	k w i D a D o
cuántica	k w a+ n t i k a
cuántico	k w a+ n t i k o
cuánticos	k w a+ n t i k o s
cámara	k a+ m a rf a
cúspides	k u+ s p i D e s
da	d a
dar	d a rf
de	d e
debería	d e b e rf i+ a
decir	d e T i rf
definición	d e f i n i s j o+ ng
dejado	d e x a D o
dejan	d e x a ng
dejó	d e x o+
del	d e l
demostrado	d e m o s t rf a o
demostró	d e m o s t rf o+
derivada	d e rf i b a D a
desarrolla	d e s a r o L a
descartar	d e s k a rf t a rf
describir	d e s k rf i b i rf
descripción	d e s k rf i p s j o+ ng
descubrir	d e s k u b rf i rf
desde	d e z D e
desesperes	d e s e s p e rf e s
despido	d e s p i D o
después	d e s p w e+ s
dice	d i T e
difíciles	d i f i+ s i l e s
dimensión	d i m e n s j o+ n
dinde	d i n d e
dio	d j o
dirac	d i rf a k
dirigir	d i rf i x i rf
dirán	d i rf a+ ng
dirás	d i rf a+ s
disponible	d i s p o n i b l e
divertida	d i b e rf t i D a
donde	d o n d e
dos	d o s
drásticas	d rf a+ s t i k a s
duda	d u D a
día	d i+ a
e	e
ecuaciones	e k w a s j o n e s
ecuación	e k w a s j o+ ng
efectos	e f e k t o s
einstein	aI n s t eI n
el	e l
electrones	e l e k t rf o n e s
electrón	e l e k t rf o+ n
elegante	e l e G a n t e
elevar	e l e b a rf
ellas	e L a s
ellos	e L o s
embargo	e m b a rf G o
emociono	e m o T j o n o
emoción	e m o s j o+ ng
empiezan	e m p j e T a n
en	e ng
encima	e ng s i m a
encontrado	e n k o n t rf a o
encontramos	e ng k o n t rf a m o s
encontrar	e ng k o n t rf a rf
encontró	e n k o n t rf o+
encuentra	e n k w e n t rf a
encuentran	e n k w e n t rf a ng
energía	e n e rf x i+ a
enlace	e n l a T e
entender	e n t e n d e rf
entonces	e n t o n T e s
entran	e n t rf a n
entrar	e n t rf a rf
entre	e n t rf e
era	e rf a
eran	e rf a ng
erwin	e rf b i n
es	e s
esa	e s a
especie	e s p e T j e
espero	e s p e rf o
espín	e s p i+ ng
esta	e s t a
estalle	e s t a L e
estas	e s t a s
este	e s t e
esto	e s t o
estos	e s t o s
estoy	e s t oI
estupendo	e s t u p e n d o
está	e s t a+
evaluando	e b a l w a n d o
evaluar	e b a l w a rf
exigió	e k s i x j o+
existencia	e s i s t e n T j a
exitosa	e k s i t o s a
experimentalmente	e k s p e rf i m e n t a l m e n t e
experimento	e k s p e rf i m e n t o
experimentos	e k s p e rf i m e n t o s
explicación	e k s p l i k a s j o+ ng
explicó	e k s p l i k o+
expresa	e k s p rf e s a
expresar	e k s p rf e s a rf
facebook	f a s e b u k
famosos	f a m o s o s
fenómeno	f e n o+ m e n o
flipen	f l i p e ng
forma	f o rf m a
formulación	f o rf m u l a s j o+ ng
friki	f rf i k i
fue	f w e
fueron	f w e rf o ng
función	f u n T j o+ n
fácil	f a+ s i l
física	f i+ s i k a
físico	f i+ s i k o
gallina	G a L i n a
gama	G a m a
ganas	G a n a s
gordo	G o rf D o
gordon	G o rf D o n
grado	G rf a D o
gran	G rf a ng
grandes	G rf a n d e s
grupo	G rf u p o
guía	g i+ a
ha	a
haber	a b e rf
había	a b i+ a
habíamos	a b i+ a m o s
hacer	a s e rf
haciendo	a s j e n d o
has	a s
hasta	a s t a
hay	aI
he	e
hemos	e m o s
hermoso	e rf m o s o
herramienta	e r a m j e n t a
higgs	x i G s
hijos	i x o s
hola	o l a
hoy	oI
humano	u m a n o
identificados	i D e n t i f i k a D o s
idénticas	i D e+ n t i k a s
igual	i G w a l
imaginar	i m a x i n a rf
impacientes	i m p a s j e n t e s
implicaba	i m p l i k a b a
importante	i m p o rf t a n t e
incluso	i ng k l u s o
incomprensible	i n k o m p rf e n s i b l e
increible	i n k rf eI b l e
increíble	i ng k rf e i+ b l e
instagram	i ng s t a G rf a m
inteligencia	i n t e l i x e n T j a
interacciones	i n t e rf a k s j o n e s
interesante	i n t e rf e s a n t e
interno	i n t e rf n o
interpretaciones	i n t e rf p rf e t a T j o n e s
interpretación	i n t e rf p rf e t a T j o+ n
interpretó	i n t e rf p rf e t o+
introdución	i n t rf o D u T j o+ n
investigaciones	i ng V e s t i G a s j o n e s
irreducible	i r e D u T i b l e
jasantaolalla	x a s a n t a o l a L a
javi	x a b i
justo	x u s t o
kein	k eI ng
klein	k l eI ng
la	l a
lados	l a D o s
largo	l a rf G o
las	l a s
le	l e
les	l e s
leyes	l e L e s
libertad	l i b e rf t a
libros	l i b rf o s
lineal	l i n e a l
linealicemos	l i n e a l i s e m o s
lista	l i s t a
listo	l i s t o
listos	l i s t o s
llamó	L a m o+
llegado	L e G a D o
llegar	L e G a rf
lleva	L e b a
llevaba	L e b a b a
llorar	L o rf a rf
lo	l o
los	l o s
luego	l w e G o
lugar	l u G a rf
magia	m a x j a
magnitud	m a G n i t u
magnitudes	m a G n i t u D e s
manera	m a n e rf a
mar	m a rf
maravilloso	m a rf a b i L o s o
mas	m a s
masa	m a s a
matemática	m a t e m a+ t i k a
matemáticas	m a t e m a+ t i k a s
matemático	m a t e m a+ t i k o
materia	m a t e rf j a
matrices	m a t rf i T e s
matriz	m a t rf i s
me	m e
mecánica	m e k a+ n i k a
menor	m e n o rf
menos	m e n o s
mentira	m e n t i rf a
mientras	m j e n t rf a s
mirar	m i rf a rf
mirá	m i rf a+
mis	m i s
mismas	m i z m a s
momento	m o m e n t o
montar	m o n t a rf
mostraba	m o s t rf a b a
mostrar	m o s t rf a rf
mucho	m u tS o
mundialmente	m u n d j a l m e n t e
mundo	m u n d o
muy	m u j
más	m a+ s
n+1	n u n o
nada	n a D a
nadie	n a D j e
naturaleza	n a t u rf a l e T a
navidades	n a b i D a D e s
negativa	n e G a t i b a
niebla	n j e b l a
ninguna	n i n g u n a
no	n o
nos	n o s
nueva	n w e b a
nuevo	n w e b o
números	n u+ m e rf o s
o	o
observó	o s e rf b o+
obvia	o b j a
ole	o l e
onda	o n d a
ondulatoria	o n d u l a t o rf j a
online	o n l i n e
operaba	o p e rf a b a
operador	o p e rf a D o rf
operadores	o p e rf a D o rf e s
operar	o p e rf a rf
opuesta	o p w e s t a
otra	o t rf a
otro	o t rf o
para	p a rf a
parece	p a rf e s e
parecen	p a rf e T e n
parecer	p a rf e T e rf
parte	p a rf t e
partió	p a rf t j o+
partícula	p a rf t i+ k u l a
partículas	p a rf t i+ k u l a s
paso	p a s o
paul	p aU l
pauli	p aU l i
país	p a i+ s
pelos	p e l o s
pelotazo	p e l o t a s o
pensaba	p e n s a b a
pensamiento	p e n s a m j e n t o
peor	p e o rf
perdido	p e rf D i D o
permitirle	p e rf m i t i rf l e
pero	p e rf o
piel	p j e l
planteado	p l a n t e a D o
pocas	p o k a s
poco	p o k o
pocos	p o k o s
podría	p o D rf i+ a
podía	p o D i+ a
pone	p o n e
ponemos	p o n e m o s
poner	p o n e rf
ponerse	p o n e rf s e
poquito	p o k i t o
por	p o rf
porque	p o rf k e
posición	p o s i T j o+ n
positiva	p o s i t i b a
precisa	p rf e T i s a
preparence	p rf e p a rf e ng s e
previo	p rf e b j o
primera	p rf i m e rf a
primero	p rf i m e rf o
probabilidad	p rf o b a b i l i D a
problema	p rf o b l e m a
problemas	p rf o b l e m a s
probó	p rf o b o+
propias	p rf o p j a s
propiedad	p rf o p j e D a
propiedades	p rf o p j e D a D e s
puede	p w e D e
pueden	p w e D e ng
pues	p w e s
puesto	p w e s t o
punta	p u n t a
punto	p u n t o
públicos	p u+ b l i k o s
que	k e
queda	k e D a
quedado	k e D a D o
quedate	k e D a t e
quererlo	k e rf e rf l o
quieren	k j e rf e ng
quieres	k j e rf e s
quitemos	k i t e m o s
qué	k e+
raros	r a rf o s
raíz	r a i+ T
realidad	r e a l i D a
realidades	r e a l i D a D e s
realmente	r e a l m e n t e
recomendaba	r e k o m e n d a b a
recomendandoles	r e k o m e n d a n d o l e s
redes	r e D e s
referencia	r e f e rf e n T j a
reflexionó	r e f l e k s j o n o+
regalo	r e G a l o
reglas	r e G l a s
relaciones	r e l a s j o n e s
relatividad	r e l a t i b i D a
relativista	r e l a t i b i s t a
relevancia	r e l e b a n T j a
representa	r e p rf e s e n t a
representaba	r e p rf e s e n t a b a
representación	r e p rf e s e n t a s j o+ ng
representamos	r e p rf e s e n t a m o s
respecto	r e s p e k t o
responder	r e s p o n d e rf
respuesta	r e s p w e s t a
revista	r e b i s t a
rincón	r i n k o+ n
sabía	s a b i+ a
salida	s a l i D a
schrödinger	s tS rf D i n x e rf
se	s e
sea	s e a
sean	s e a ng
segunda	s e G u n d a
segundo	s e G u n d o
seguramente	s e G u rf a m e n t e
sencilla	s e n T i L a
sentido	s e n t i D o
ser	s e rf
serie	s e rf j e
servir	s e rf b i rf
señoras	s e n~ o rf a s
señores	s e n~ o rf e s
si	s i
sigan	s i G a ng
sigma	s i G m a
siguiente	s i g j e n t e
simple	s i m p l e
simplemente	s i m p l e m e n t e
simples	s i m p l e s
sin	s i ng
sociales	s o T j a l e s
soluciones	s o l u T j o n e s
solución	s o l u s j o+ ng
son	s o ng
sorprendentemente	s o rf p rf e n d e n t e m e n t e
sorpresas	s o rf p rf e s a s
soul	s o u l
su	s u
su2	s u D o s e
subtitulos	s u t i t u l o s
suma	s u m a
suponen	s u p o n e ng
sus	s u s
sustituir	s u s t i t w i rf
sutil	s u t i l
símbolos	s i+ m b o l o s
sólo	s o+ l o
tabla	t a b l a
también	t a m b j e+ ng
tan	t a ng
tantas	t a n t a s
te	t e
tema	t e m a
tenemos	t e n e m o s
tener	t e n e rf
tenga	t e n g a
tenía	t e n i+ a
teoría	t e o rf i+ a
terriblemente	t e r i b l e m e n t e
ti	t i
tiempo	t j e m p o
tiene	t j e n e
tienen	t j e n e ng
todo	t o D o
todos	t o D o s
tomemos	t o m e m o s
trabajo	t rf a b a x o
tranquilo	t rf a ng k i l o
transformar	t rf a ng s f o rf m a rf
transformemos	t rf a ng s f o rf m e m o s
tu	t u
twitter	t w i t e rf
términos	t e+ rf m i n o s
un	u ng
una	u n a
unas	u n a s
uno	u n o
unos	u n o s
usando	u s a n d o
utopía	u t o p i+ a
va	b a
vale	b a l e
valor	b a l o rf
vamos	b a m o s
veamos	b e a m o s
veces	b e T e s
velocidades	b e l o T i D a D e s
vemos	b e m o s
veo	b e o
ver	b e rf
verdaderamente	b e rf D a D e rf a m e n t e
veremos	b e rf e m o s
vez	b e s
vida	b i D a
video	b i D e o
visto	b i s t o
volvieron	b o l b j e rf o ng
voy	b oI
vídeo	b i+ D e o
vídeos	b i+ D e o s
x	D j e s
xdxd	s D s
y	j
ya	L a
yo	L o
él	e+ l
época	e+ p o k a
ésta	e+ s t a
éste	e+ s t e
